,level_0,영업상태명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),시도,지역구,상세주소,검색여부
71,108,영업/정상,서울특별시 강남구 논현동 167-28,"서울특별시 강남구 강남대로120길 13, 지하1층 (논현동)",로쿄 신논현,경양식,202098.486268468,445004.733372331,서울특별시,강남구,"강남대로120길13,",가능
72,109,영업/정상,서울특별시 강남구 신사동 657-1 웬즈데이빌딩,"서울특별시 강남구 선릉로155길 12, 웬즈데이빌딩 3층 (신사동)",도산정육블랙 청담본점,한식,203360.811585626,447035.973299394,서울특별시,강남구,"선릉로155길12,",가능
73,110,영업/정상,서울특별시 강남구 역삼동 837-22,"서울특별시 강남구 강남대로62길 13, 지상1층 (역삼동)",신의주찹쌀순대,한식,202815.341441455,443155.034578953,서울특별시,강남구,"강남대로62길13,",가능
74,111,영업/정상,서울특별시 강남구 개포동 1263-12,"서울특별시 강남구 개포로25길 16, 지상1층 103호 (개포동)",이더웨이 쏘 굿,경양식,204194.90600992,441982.279013361,서울특별시,강남구,"개포로25길16,",가능
75,114,영업/정상,서울특별시 강남구 역삼동 601-7,"서울특별시 강남구 봉은사로2길 7, 지상2층 202호 (역삼동)",초이다이닝 강남점,일식,202197.944660462,444669.498613203,서울특별시,강남구,"봉은사로2길7,",가능
76,115,영업/정상,서울특별시 강남구 삼성동 77-28,"서울특별시 강남구 영동대로115길 15, 지상1층 (삼성동)",랩(LAB),기타,205118.667709849,445806.607131983,서울특별시,강남구,"영동대로115길15,",가능
77,116,영업/정상,서울특별시 강남구 대치동 316 은마아파트,"서울특별시 강남구 삼성로 212, 은마상가 비블럭 지하1층 6호 (대치동, 은마아파트)",산월수제비,분식,205707.089399978,443914.194133105,서울특별시,강남구,"삼성로212,",가능
78,118,영업/정상,서울특별시 강남구 일원동 743 디에이치 자이 개포,"서울특별시 강남구 영동대로 22, 827동 지상1층 에스201-215호 (일원동, 디에이치 자이 개포)",도란,일식,206573.648227777,443195.189239438,서울특별시,강남구,"영동대로22,",가능
79,119,영업/정상,서울특별시 강남구 청담동 32-6,"서울특별시 강남구 삼성로133길 14, 지상1층 101호 (청담동)",금돈옥 청담점,한식,204201.530069611,446363.086746135,서울특별시,강남구,"삼성로133길14,",가능
80,120,영업/정상,서울특별시 강남구 논현동 225-6 논현 아이파크,"서울특별시 강남구 언주로 615, 논현 아이파크 103동 지하1층 B116호 (논현동)",엠브이피자 강남점,경양식,203108.361768367,445369.429120975,서울특별시,강남구,"언주로615,",가능
81,121,영업/정상,서울특별시 강남구 논현동 211-21 펜트힐 루 논현,"서울특별시 강남구 언주로 641, 펜트힐 루 논현 지상2층 204호 (논현동)",앨리스 스튜디오 공간대여 티카페 강남점,기타,203021.90910205,445735.022021415,서울특별시,강남구,"언주로641,",가능
82,122,영업/정상,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",데일리픽스,경양식,203470.848439305,447369.579851952,서울특별시,강남구,"압구정로343,",가능
83,123,영업/정상,서울특별시 강남구 대치동 901-74,"서울특별시 강남구 역삼로77길 15, 지상1층 101호 (대치동)",헤일리스커피,경양식,204892.948456533,444587.08563322,서울특별시,강남구,"역삼로77길15,",가능
84,124,영업/정상,서울특별시 강남구 논현동 108 논현웰스톤,"서울특별시 강남구 학동로43길 38, 지하2층 제비201호 주방5호 (논현동, 논현웰스톤)",부리또리(강남구청점),기타,203292.307005445,446247.511537864,서울특별시,강남구,"학동로43길38,",가능
85,125,영업/정상,서울특별시 강남구 청담동 88-19,"서울특별시 강남구 선릉로158길 14-2, 지하1층 (청담동)",청담 여백,일식,203550.222034236,446995.85946725,서울특별시,강남구,"선릉로158길14-2,",가능
86,126,영업/정상,서울특별시 강남구 대치동 316 은마아파트,"서울특별시 강남구 삼성로 212, 은마상가 지상1층 A-117호 (대치동, 은마아파트)",샐러리아 대치은마점,경양식,205707.089399978,443914.194133105,서울특별시,강남구,"삼성로212,",가능
